6771,bar2,0%,905.61,2/5/2024
7010,gizmo6,5%,411.19,2/4/2024
4746,click6,10%,920.85,1/23/2024
4624,bar9,5%,404.6,1/26/2024
9157,mouse9,10%,409.67,1/28/2024
8106,click8,10%,586.15,1/12/2024
4522,bar7,0%,390.54,1/26/2024
4836,mouse6,15%,602.83,1/21/2024
2489,mouse7,15%,101.98,1/19/2024
5617,bar7,10%,390.54,2/3/2024
4848,click2,0%,447.88,2/6/2024
2716,click5,15%,786.05,1/23/2024
9681,bar2,15%,905.61,1/16/2024
2990,bar2,0%,905.61,1/30/2024
3844,bar3,15%,993.6,1/22/2024
5617,gizmo1,0%,908.66,2/3/2024
8744,gizmo1,15%,908.66,1/30/2024
1150,gizmo8,10%,327.95,1/22/2024
5099,click2,10%,447.88,2/7/2024
8106,click4,15%,537.92,1/12/2024
7724,gizmo6,5%,411.19,2/4/2024
3370,click1,10%,729.35,1/30/2024
4653,gizmo2,15%,912.18,1/15/2024
5500,gizmo5,5%,726.52,2/6/2024
9160,mouse9,15%,409.67,1/21/2024
7789,bar3,15%,993.6,2/2/2024
4170,bar6,5%,407.48,1/20/2024
3561,gizmo1,0%,908.66,2/6/2024
8622,bar1,10%,952.98,1/21/2024
1338,mouse2,10%,584.26,1/30/2024
5034,click6,10%,920.85,2/1/2024
6264,bar3,10%,993.6,1/16/2024
4243,mouse3,5%,92.48,2/9/2024
4746,bar9,0%,404.6,1/23/2024
6430,gizmo7,5%,589,1/25/2024
4653,mouse2,0%,584.26,1/15/2024
8067,bar3,15%,993.6,2/11/2024
8744,mouse6,15%,602.83,1/30/2024
7523,mouse1,15%,254.05,1/17/2024
4848,bar1,5%,952.98,2/6/2024
3129,bar5,15%,946.7,1/20/2024
7205,bar3,5%,993.6,2/10/2024
2874,mouse5,0%,54.7,1/23/2024
9826,click4,5%,537.92,1/20/2024
6320,mouse5,10%,54.7,1/14/2024
3129,gizmo2,10%,912.18,1/20/2024
7724,click1,5%,729.35,2/4/2024
4170,mouse1,5%,254.05,1/20/2024
8803,gizmo5,0%,726.52,1/25/2024
7724,click8,0%,586.15,2/4/2024
2203,mouse6,10%,602.83,1/25/2024
8545,gizmo1,0%,908.66,1/20/2024
7523,gizmo4,15%,180.72,1/17/2024
7906,mouse3,10%,92.48,1/19/2024
8450,bar6,15%,407.48,1/31/2024
2874,mouse4,0%,95.43,1/23/2024
5122,mouse6,0%,602.83,1/29/2024
5382,bar7,5%,390.54,1/30/2024
4551,bar9,5%,404.6,1/18/2024
2515,gizmo8,10%,327.95,1/29/2024
5656,mouse1,5%,254.05,2/8/2024
5784,gizmo7,5%,589,1/26/2024
